game_id,white_player,black_player,white_elo,black_elo,game_started_at,game_ended_at,moves,winner,status,eco,name_of_opening,game_duration,num_of_moves
eb6mWNSY,randomusername1234,dimke1997,2239,2438,2020-11-26 21:32:24.547000+00:00,2020-11-26 21:42:05.267000+00:00,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Be2 O-O Bg5 c5 d5 e6 Qd2 exd5 exd5 Qb6 Nf3 Bf5 O-O Ne4 Nxe4 Bxe4 Bd3 Bxf3 gxf3 Nd7 f4 h6 Bh4 Qxb2 Qxb2 Bxb2 Rab1 Bd4 Rxb7 Nb6 Be7 Rfe8 Bxd6 Na4 f5 g5 Bg3 h5 h4 g4 Bf4 Nc3 d6 Rad8 Rxa7 Be5 d7 Re7 f6 Rexd7 Rxd7 Rxd7 Bxe5 Rxd3 Bxc3 Rxc3 a4 Ra3 Rd1 Rxa4 Rd5 Rxc4 Rxh5 Rf4 Rxc5 Rxf6 Rg5+ Kh7 Kg2 Rg6 Kg3 Rf6 Rxg4 Kh6 f3 Ra6 Rg5 f6 Rg8 Ra4 Rh8+ Kg7 Rc8 Rb4 Rc7+ Kg6 Rc8 Kg7 f4 Kg6 Rg8+ Kf5 h5 Rb3+ Kg2 Kxf4 h6 Rb7 Rg7 Rb8 h7 Rh8 Kh3 f5 Kh4 Ke3 Kh5 f4 Kg6 f3 Re7+ Kd2 Rf7 Ke2 Kg7 Rxh7+ Kxh7 f2 Re7+ Kd1 Rf7 Ke1 Rxf2 Kxf2,draw,draw,E75,"King's Indian Defense: Averbakh Variation, Main Line",0 days 00:09:40.720000,66
q6ILkKpm,Intercina,dimke1997,2337,2433,2020-11-26 21:22:51.831000+00:00,2020-11-26 21:30:51.236000+00:00,d4 Nf6 Bg5 Ne4 h4 d5 Nd2 Bf5 Nxe4 Bxe4 f3 Bf5 g4 h6 Bf4 Bg6 h5 Bh7 e3 e6 Bd3 Bxd3 Qxd3 a6 Ne2 c5 c3 Nc6 O-O-O Qa5 Kb1 c4 Qc2 b5 e4 b4 exd5 Qxd5 Qe4 O-O-O Qxd5 exd5 Ng3 g6 Be5 Nxe5 dxe5 bxc3 bxc3 Bg7 f4 g5 Nf5 Bf8 fxg5 hxg5 Rh2 Kc7 Rhd2 Kc6 Kc2 Bc5 Nd4+ Bxd4 cxd4 Rb8 Rf2 Rb7 Rf6+ Kc7 Rxf7+ Kb8 Rxb7+ Kxb7 Rf1 Kc6 Rf6+ Kb5 Rd6 Rf8 Rxd5+ Kb4 a3+ Kxa3 Kc3 Ka4 Kxc4 a5 e6 Re8 Re5 Rc8+ Kd3 Kb4 e7 Re8 d5 Kc5 Ke4 a4 h6 a3 d6+ Kxd6 Rxg5 Rxe7+ Kf4 Ra7 Rh5 a2 Rh1 a1=Q Rxa1 Rxa1 g5 Ke6 g6 Kf6 g7 Ra4+ Kg3 Ra8 Kg4 Kg6,black,resign,A45,Trompowsky Attack: Raptor Variation,0 days 00:07:59.405000,62
61sA1VyO,dimke1997,DaniloBesedes,2424,2426,2020-11-26 21:14:52.604000+00:00,2020-11-26 21:22:14.573000+00:00,d4 d5 c4 c6 Nc3 Nf6 e3 a6 Qc2 g6 Bd3 Bg7 Nf3 O-O O-O Bg4 Ne5 Be6 c5 Nbd7 f4 Ne8 Nxd7 Qxd7 Bd2 f5 b4 Nf6 a4 Ne4 b5 axb5 axb5 Qc7 b6 Qd7 Ra7 Rab8 Rfa1 Qe8 Be1 g5 fxg5 Qh5 Bxe4 dxe4 Bg3 f4 Bxf4 Rxf4 exf4 Bxd4+ Kh1 Bf5 Ra8 Rxa8 Rxa8+ Kg7 Qd2 e5 Qa2 Qf7 Qxf7+ Kxf7 Ne2 Bxc5 Rb8 exf4 Rxb7+ Kg6 Nxf4+ Kxg5 g3 e3 Kg2 Be4+ Kf1 Bf3 Rb8 Bd6 Rg8+ Kf5 b7,white,resign,D10,Slav Defense,0 days 00:07:21.969000,41
DRxzRqGY,andro2,dimke1997,2411,2433,2020-11-26 21:05:23.363000+00:00,2020-11-26 21:14:13.941000+00:00,e4 c5 Nf3 Nc6 g3 g6 Bg2 Bg7 O-O e5 c3 Nge7 Na3 O-O Re1 d5 exd5 Nxd5 Nc4 Re8 d3 f6 Qb3 Kh8 a4 b6 Bd2 Be6 Rad1 Rb8 Qc2 a6 Bc1 b5 axb5 axb5 Ne3 Nde7 h4 Qd7 h5 gxh5 Nh4 f5 Qe2 f4 Nf1 Bb3 Qxh5 Bxd1 Rxd1 Qe6 gxf4 exf4 Bxf4 Rbd8 Be4 h6 Ng3 Ne5 Kg2 Rf8 Ngf5 Nxf5 Bxf5 Qf7 Qe2 Qf6 Bg3 Rde8 Be4 Qg5 Kh3 h5 Rg1 Qg4+ Qxg4 hxg4+ Kg2 Rf6 Rh1 Kg8 Ra1 Bf8 Nf5 Nf3 Ra7 Rxf5 Bxf5 Re1 Bxg4 Nd2 Bf4 Nb3 Bf3 Rb1 Bd5+ Kh8 Bxb3,white,resign,B30,Sicilian Defense: Old Sicilian,0 days 00:08:50.578000,49
vZzsJTFm,dimke1997,MarklarMarklar,2431,2131,2020-11-26 20:56:10.415000+00:00,2020-11-26 21:04:28.020000+00:00,d4 Nf6 Nf3 c5 d5 b5 Bg5 Ne4 Bf4 d6 a4 bxa4 c3 Bd7 Rxa4 Nf6 Ra2 Nxd5 Qxd5 Be6 Qxa8 Bxa2 e4 Bxb1 Bb5+ Nd7 Qb7 a6 Ba4 Bd3 e5 Bb5 Bxb5 axb5 Qxb5 Qb6 Qa4 d5 O-O e6 Ra1 Be7 Qa8+ Bd8 Qa7 Ke7 Bg5+ f6 exf6+ gxf6 Bxf6+ Kxf6 Qxd7 Qc7 Qb5 Be7 Qe2 Rb8 Ra6 Bd6 Qe3 Rxb2 Qh6+ Kf5 Qg5+ Ke4 Ra4+ c4 Qg4+ Kd3 Qd4+ Kc2 Qd2+ Kb1 Qd1#,white,mate,A43,Indian Defense: Pseudo-Benko,0 days 00:08:17.605000,37
nw4L2Jbz,AleksandarVe,dimke1997,1967,2429,2020-11-26 20:49:26.564000+00:00,2020-11-26 20:55:12.933000+00:00,d4 Nf6 e3 g6 Bd3 Bg7 c3 O-O f4 d5 Nd2 c5 Ne2 Nc6 O-O Qc7 Ng3 Rb8 Nf3 b5 Bd2 b4 Ne5 bxc3 bxc3 e6 h4 h5 Bxg6 fxg6 Nxg6 Qf7 Nxf8 Kxf8 f5 e5 Qa4 Qc7 Rab1 Rxb1 Rxb1 exd4 cxd4 Bd7 Ne2 Nxd4 Qd1 Nxe2+ Qxe2 Bxf5 Rc1 Kg8 Bb4 Ng4,black,outoftime,A45,Indian Defense,0 days 00:05:46.369000,27
9zjCdrLk,dimke1997,Codacm,2425,2248,2020-11-26 20:41:14.896000+00:00,2020-11-26 20:48:41.870000+00:00,d4 Nf6 Nf3 g6 c4 Bg7 g3 d6 Bg2 O-O O-O Nc6 Nc3 Bg4 Bg5 h6 Be3 Bxf3 exf3 e6 f4 d5 f5 exf5 cxd5 Ne7 Qb3 Rb8 Rfe1 a6 Bf4 Nc8 Be5 Nd6 Rac1 Qd7 Na4 b6 Rc6 Nfe4 f3 Nf6 Rec1 Nfe8 f4 Rb7 Qc2 Nb5 Bxg7 Kxg7 Qd3 Ra7 b3 Nbd6 Qc2 Ra8 Nb2 Ra7 Nd3 f6 Re1 Rf7 Re6 Re7 Qe2 Kf7 Nb4 a5 Rcxd6 cxd6 Nc6 Rc7 Rxe7+,white,resign,E62,"King's Indian Defense: Fianchetto Variation, Simagin Variation",0 days 00:07:26.974000,36
W5qfnPvE,Stole94,dimke1997,2259,2420,2020-11-26 20:33:16.908000+00:00,2020-11-26 20:39:34.401000+00:00,d4 Nf6 Bf4 d6 Nf3 g6 Nc3 Nbd7 Qd2 c5 e3 Bg7 h4 h6 a4 O-O Bc4 Nh5 Bh2 cxd4 exd4 Ndf6 Qd3 Bf5 Qe2 Qb6 Bb3 Ng4 a5 Qd8 O-O Nxh2 Nxh2 Bd7 Qe3 e5 dxe5 dxe5 Rfd1 Qe7 Nd5 Qxh4 Nf3 Qg4 Nxe5 Bxe5 Qxe5 Bc6 f3 Qg3 Nf6+ Kh8 Nxh5+ Qxe5,black,resign,A45,Indian Defense,0 days 00:06:17.493000,27
56gQMVvy,dimke1997,NIndja64,2413,2750,2020-11-26 20:25:22.354000+00:00,2020-11-26 20:33:00.335000+00:00,e4 g6 d4 Bg7 Nc3 a6 a4 d6 h3 Nc6 Nf3 Nf6 Be3 O-O Be2 e6 O-O b6 Qd2 Bb7 Rfd1 Ne7 e5 dxe5 Nxe5 Nf5 Bf3 Bxf3 Nxf3 Nxe3 Qxe3 Nd5 Nxd5 Qxd5 c3 Rfd8 Qe2 b5 axb5 axb5 Rxa8 Rxa8 Ne5 h6 Qf3 Qxf3 Nxf3 Ra2 Rd2 Ra1+ Kh2 Bf8 g3 b4 Kg2 Ra2 h4 b3 Kf1 Ba3 c4 Bxb2 Rd3 Bxd4 Rxd4 b2 Nd2 Ra1+ Ke2 b1=Q Nxb1 Rxb1 Rd7 Rb7 c5 Kg7 c6 Ra7 f4 Kf6 Kf3 h5 Ke4 Ra4+ Ke3 Ra3+ Kf2 Ra7 Ke3 Ra3+ Kf2 Ra7 Ke3 Ra3+,draw,draw,B06,Modern Defense: Standard Line,0 days 00:07:37.981000,47
OtFdjKle,djkzoran,dimke1997,2058,2411,2020-11-26 20:15:41.624000+00:00,2020-11-26 20:24:43.792000+00:00,e4 c5 c4 Nc6 Nc3 g6 g3 Bg7 Bg2 d6 Nge2 Nf6 O-O O-O d3 Bg4 h3 Bxe2 Nxe2 a6 Be3 Ne8 d4 cxd4 Nxd4 Nxd4 Bxd4 Bxd4 Qxd4 Nc7 Rfd1 Ne6 Qd5 Qc7 b3 a5 e5 dxe5 Qxb7 Qxb7 Bxb7 Rab8 Bd5 Nd4 f4 e6 Bg2 Nc2 Rac1 Ne3 Rd3 exf4 gxf4 Nxg2 Kxg2 Rfc8 Rd7 Rc5 Rcd1 Rb4 Ra7 a4 Rdd7 axb3 axb3 Rf5 Rab7 Rxb7 Rxb7 Rxf4 Kg3 Rf1 b4 f5 c5 Rc1 Rc7 Rb1 Rb7 Rc1 Rc7 Rc3+ Kg2 Rb3 Rb7 Kf8 c6 Ke8 b5 Rc3 Rc7 Kd8 Rxh7 Rc5 Rg7 Rxb5 Rxg6 Re5 Rg7 Re4 Kf3 Kc8 Kg3 e5 h4 f4+ Kf2 Rc4 c7 e4 Rf7 Rc2+ Ke1 f3 h5 Rh2 Rf5 Kxc7 Re5 Re2+ Kf1 Kd6 Re8 Kd5 h6 Rh2 Rd8+ Ke5 Re8+ Kf4 Kg1 Rxh6 Rf8+ Ke3,black,resign,A36,"English Opening: Symmetrical Variation, Botvinnik System",0 days 00:09:02.168000,67
