new_index,Rating History
2018-03-19,2414.0
2018-03-20,2414.0
2018-03-21,2414.0
2018-03-22,2414.0
2018-03-23,2414.0
2018-03-24,2414.0
2018-03-25,2414.0
2018-03-26,2414.0
2018-03-27,2414.0
2018-03-28,2414.0
2018-03-29,2414.0
2018-03-30,2414.0
2018-03-31,2414.0
2018-04-01,2414.0
2018-04-02,2414.0
2018-04-03,2414.0
2018-04-04,2414.0
2018-04-05,2414.0
2018-04-06,2414.0
2018-04-07,2414.0
2018-04-08,2414.0
2018-04-09,2414.0
2018-04-10,2414.0
2018-04-11,2414.0
2018-04-12,2414.0
2018-04-13,2414.0
2018-04-14,2414.0
2018-04-15,2414.0
2018-04-16,2414.0
2018-04-17,2414.0
2018-04-18,2414.0
2018-04-19,2414.0
2018-04-20,2414.0
2018-04-21,2414.0
2018-04-22,2414.0
2018-04-23,2414.0
2018-04-24,2414.0
2018-04-25,2414.0
2018-04-26,2414.0
2018-04-27,2414.0
2018-04-28,2414.0
2018-04-29,2414.0
2018-04-30,2414.0
2018-05-01,2414.0
2018-05-02,2414.0
2018-05-03,2414.0
2018-05-04,2414.0
2018-05-05,2414.0
2018-05-06,2414.0
2018-05-07,2414.0
2018-05-08,2414.0
2018-05-09,2414.0
2018-05-10,2414.0
2018-05-11,2414.0
2018-05-12,2414.0
2018-05-13,2414.0
2018-05-14,2414.0
2018-05-15,2414.0
2018-05-16,2414.0
2018-05-17,2414.0
2018-05-18,2414.0
2018-05-19,2414.0
2018-05-20,2414.0
2018-05-21,2414.0
2018-05-22,2414.0
2018-05-23,2414.0
2018-05-24,2414.0
2018-05-25,2414.0
2018-05-26,2414.0
2018-05-27,2414.0
2018-05-28,2414.0
2018-05-29,2414.0
2018-05-30,2414.0
2018-05-31,2414.0
2018-06-01,2414.0
2018-06-02,2414.0
2018-06-03,2414.0
2018-06-04,2414.0
2018-06-05,2414.0
2018-06-06,2414.0
2018-06-07,2414.0
2018-06-08,2414.0
2018-06-09,2414.0
2018-06-10,2414.0
2018-06-11,2414.0
2018-06-12,2414.0
2018-06-13,2414.0
2018-06-14,2414.0
2018-06-15,2414.0
2018-06-16,2414.0
2018-06-17,2414.0
2018-06-18,2414.0
2018-06-19,2414.0
2018-06-20,2414.0
2018-06-21,2414.0
2018-06-22,2414.0
2018-06-23,2414.0
2018-06-24,2414.0
2018-06-25,2414.0
2018-06-26,2414.0
2018-06-27,2414.0
2018-06-28,2414.0
2018-06-29,2414.0
2018-06-30,2414.0
2018-07-01,2414.0
2018-07-02,2414.0
2018-07-03,2414.0
2018-07-04,2414.0
2018-07-05,2414.0
2018-07-06,2414.0
2018-07-07,2414.0
2018-07-08,2414.0
2018-07-09,2414.0
2018-07-10,2414.0
2018-07-11,2414.0
2018-07-12,2414.0
2018-07-13,2414.0
2018-07-14,2414.0
2018-07-15,2414.0
2018-07-16,2414.0
2018-07-17,2414.0
2018-07-18,2414.0
2018-07-19,2414.0
2018-07-20,2414.0
2018-07-21,2414.0
2018-07-22,2414.0
2018-07-23,2414.0
2018-07-24,2414.0
2018-07-25,2414.0
2018-07-26,2414.0
2018-07-27,2414.0
2018-07-28,2414.0
2018-07-29,2414.0
2018-07-30,2414.0
2018-07-31,2414.0
2018-08-01,2414.0
2018-08-02,2414.0
2018-08-03,2414.0
2018-08-04,2414.0
2018-08-05,2392.0
2018-08-06,2393.0
2018-08-07,2369.0
2018-08-08,2399.0
2018-08-09,2399.0
2018-08-10,2399.0
2018-08-11,2399.0
2018-08-12,2399.0
2018-08-13,2399.0
2018-08-14,2399.0
2018-08-15,2399.0
2018-08-16,2399.0
2018-08-17,2399.0
2018-08-18,2399.0
2018-08-19,2399.0
2018-08-20,2399.0
2018-08-21,2399.0
2018-08-22,2399.0
2018-08-23,2399.0
2018-08-24,2399.0
2018-08-25,2399.0
2018-08-26,2399.0
2018-08-27,2399.0
2018-08-28,2399.0
2018-08-29,2399.0
2018-08-30,2399.0
2018-08-31,2399.0
2018-09-01,2399.0
2018-09-02,2399.0
2018-09-03,2399.0
2018-09-04,2399.0
2018-09-05,2399.0
2018-09-06,2399.0
2018-09-07,2399.0
2018-09-08,2399.0
2018-09-09,2399.0
2018-09-10,2399.0
2018-09-11,2399.0
2018-09-12,2399.0
2018-09-13,2399.0
2018-09-14,2399.0
2018-09-15,2399.0
2018-09-16,2399.0
2018-09-17,2399.0
2018-09-18,2399.0
